2025-06-26 20:03:38.708603 | ID: 336 | class: chair | x: 0 | y: 224
2025-06-26 20:03:39.199208 | ID: 338 | class: person | x: 0 | y: 87
2025-06-26 20:03:40.467758 | ID: 337 | class: unknown | x: 32 | y: 180
2025-06-26 20:03:40.471760 | ID: 339 | class: chair | x: 0 | y: 224
2025-06-26 20:03:40.554335 | ID: 340 | class: chair | x: 0 | y: 224
2025-06-26 20:03:45.447555 | ID: 342 | class: chair | x: 0 | y: 224
2025-06-26 20:03:47.136426 | ID: 343 | class: chair | x: 0 | y: 224
2025-06-26 20:03:48.034412 | ID: 345 | class: chair | x: 0 | y: 224
2025-06-26 20:03:48.525257 | ID: 344 | class: person | x: 31 | y: 70
2025-06-26 20:03:49.496445 | ID: 346 | class: chair | x: 0 | y: 224
2025-06-26 20:03:57.505534 | ID: 349 | class: chair | x: 0 | y: 224
2025-06-26 20:04:00.150300 | ID: 353 | class: chair | x: 0 | y: 191
2025-06-26 20:04:00.944153 | ID: 354 | class: chair | x: 0 | y: 224
2025-06-26 20:04:01.256704 | ID: 356 | class: chair | x: 0 | y: 224
2025-06-26 20:04:02.188659 | ID: 358 | class: chair | x: 0 | y: 224
=== SESSION_START: 20250626200402  ===
2025-06-26 20:04:03.014244 | ID: 360 | class: chair | x: 0 | y: 223
2025-06-26 20:04:03.924947 | ID: 361 | class: chair | x: 0 | y: 223
2025-06-26 20:04:05.675532 | ID: 364 | class: chair | x: 0 | y: 224
2025-06-26 20:04:06.228928 | ID: 365 | class: chair | x: 0 | y: 224
2025-06-26 20:04:09.382158 | ID: 368 | class: chair | x: 0 | y: 223
2025-06-26 20:04:10.743997 | ID: 370 | class: chair | x: 0 | y: 223
2025-06-26 20:04:11.898292 | ID: 373 | class: chair | x: 0 | y: 223
2025-06-26 20:04:11.946642 | ID: 374 | class: chair | x: 0 | y: 222
2025-06-26 20:04:14.170857 | ID: 376 | class: chair | x: 0 | y: 225
2025-06-26 20:04:15.442202 | ID: 377 | class: chair | x: 0 | y: 224
2025-06-26 20:04:56.762192 | ID: 390 | class: chair | x: 0 | y: 224
2025-06-26 20:05:01.470267 | ID: 392 | class: chair | x: 0 | y: 224
2025-06-26 20:05:03.929946 | ID: 393 | class: chair | x: 0 | y: 225
2025-06-26 20:05:05.413158 | ID: 394 | class: chair | x: 0 | y: 225
2025-06-26 20:05:09.023046 | ID: 395 | class: chair | x: 0 | y: 224
2025-06-26 20:05:11.701543 | ID: 398 | class: chair | x: 0 | y: 225
2025-06-26 20:05:12.803624 | ID: 399 | class: chair | x: 0 | y: 224
2025-06-26 20:05:13.982200 | ID: 400 | class: chair | x: 0 | y: 225
